scrape_date,scrape_time,product_name,category,competitor_platform,myntra_price,competitor_price,price_delta,price_delta_pct,parity_flag,data_quality,myntra_img_url,competitor_img_url,myntra_url,competitor_url,myntra_method,comp_method,myntra_status,comp_status,floor_used
2026-05-04,2026-05-04 22:45:07,Nivea Nivea Creme 200ml,Skincare,Amazon,165.0,100.0,65.0,65.0,myntra_higher,ok,,https://m.media-amazon.com/images/I/419Pc6rJ7kL._SY300_SX300_QL70_FMwebp_.jpg,https://www.myntra.com/day-cream/nivea/nivea-creme-200ml/167294/buy,https://amzn.in/d/0fqTAj6z,requests,requests,200,200,99
2026-05-04,2026-05-04 22:45:07,Reebok Reebok Stride Runner Men Running Shoes,Footwear,Flipkart,1689.0,,,,,missing_price,,,https://www.myntra.com/sports-shoes/reebok/reebok-stride-runner-men-running-shoes/32298019/buy,https://www.flipkart.com/reebok-running-shoes-men/p/itmcab7ecc542e1d,requests,failed,200,200,300
2026-05-04,2026-05-04 22:45:07,Reebok Reebok Men Force Runner Woven Design Running Shoes,Footwear,Flipkart,1999.0,,,,,missing_price,,,https://www.myntra.com/sports-shoes/reebok/reebok-men-force-runner-woven-design-running-shoes/35836900/buy,https://www.flipkart.com/reebok-force-runner-m-men-black-running-shoes-outdoors/p/itmf36d69457dcb0,requests,failed,200,200,300
2026-05-04,2026-05-04 22:45:07,Maybelline Maybelline New York Superstay Teddy Tint Lip Cheek Color 5ml Mascara Tear,Makeup,Amazon,599.0,524.0,75.0,14.31,myntra_higher,ok,,https://m.media-amazon.com/images/I/31pxmInn8OL._SY300_SX300_QL70_FMwebp_.jpg,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-superstay-teddy-tint-lip--cheek-color-5ml---mascara-tear/33655112/buy,https://amzn.in/d/0cvI8SGr,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Typsy Beauty Concealer Dark Rum 07,Makeup,Amazon,900.0,900.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/313XiBW9elL._SX342_SY445_QL70_FMwebp_.jpg,https://www.myntra.com/concealer/typsy+beauty/typsy-beauty-hangover-proof-full-coverage-concealer-with-shea-butter-58g---dark-rum-07/30537879/buy,https://amzn.in/d/01PRRgzH,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,PAC Take Cover Concealer 08 Stark Nude,Makeup,Amazon,495.0,495.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/31Y7jl3dd-L._SY300_SX300_QL70_FMwebp_.jpg,https://www.myntra.com/concealer/pac/pac-take-cover-concealer---08---stark-nude/11078106/buy,https://amzn.in/d/069MhmvQ,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Milagro Beauty Concealer Latte,Makeup,Milagro,675.0,1094.0,-419.0,-38.3,myntra_lower,ok,,https://cdn.shopify.com/s/files/1/0595/0645/8806/files/amazon_A_03_concealer.jpg?v=1747045763,https://www.myntra.com/concealer/milagro+beauty/-milagro-beauty-undercover-wizard-concealer-6ml-latte/28540260/buy,https://www.milagrobeauty.com/products/concealer-concealer-brush-13-pro,requests,selenium,200,200,150
2026-05-05,2026-05-05 11:37:45,Renee Matte Foundation Cocoa Cloud,Makeup,Amazon,525.0,525.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/31U-LJhdNoL._SY300_SX300_QL70_ML2_.jpg,https://www.myntra.com/foundation/renee/renee-bollywood-filter-matte-blurring-foundation-30-ml--cocoa-cloud/36850703/buy,https://amzn.in/d/012NQeoh,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Max Women Tunic,Clothing,Amazon,449.0,449.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/41mC8rQyTvL._SY445_SX342_QL70_FMwebp_.jpg,https://www.myntra.com/tunics/max/max-square-neck-printed-tunic/35927015/buy,https://amzn.in/d/0hyfrZeW,requests,requests,200,200,400
2026-05-05,2026-05-05 11:37:45,Mamaearth Oil-Free Moisturizer,Skincare,Mamaearth,278.0,281.0,-3.0,-1.07,parity,ok,,https://images.mamaearth.in/catalog/product/o/i/oil-free_face_moisturizer_1.jpg?format=auto&height=600&width=600,https://www.myntra.com/day-cream/mamaearth/mamaearth-oil-free-face-moisturizer-with-apple-cider-vinegar-for-acne-prone-skin---80g/11081188/buy,https://mamaearth.in/product/oil-free-face-moisturizer-with-apple-cider-vinegar-for-acne-prone-skin,requests,requests,200,200,99
2026-05-05,2026-05-05 11:37:45,LA Girl Pressed Powder,Makeup,LA Girl,791.0,791.0,0.0,0.0,parity,ok,,,https://www.myntra.com/compact/l.a+girl/la-girl-porcelain-hd-pro-face-pressed-compact-powder/2156509/buy,https://lagirlindia.com/products/hd-pro-face-pressed-powder,requests,selenium,200,200,150
2026-05-05,2026-05-05 11:37:45,LA Girl Pro Conceal,Makeup,Amazon,714.0,850.0,-136.0,-16.0,myntra_lower,ok,,,https://www.myntra.com/concealer/l.a+girl/la-girl-pro-conceal-concealer-8g/1433605/buy,https://amzn.in/d/0gCifLK9,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Mamaearth Serum Blush Peach,Makeup,Mamaearth,286.0,499.0,-213.0,-42.69,myntra_lower,ok,,https://images.mamaearth.in/catalog/product/p/e/peach_glow_serum_white_bg.jpg?format=auto&height=600,https://www.myntra.com/blush/mamaearth/mamaearth-glow-serum-blush--5-ml--peach-passion-02/35531169/buy,https://mamaearth.in/product/glow-serum-blush-with-vitamin-c-peach-extract-5-ml-peach-passion,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Mamaearth Matte Lipstick Grape Wine,Makeup,Mamaearth,335.0,359.0,-24.0,-6.69,parity,ok,,https://images.mamaearth.in/catalog/product/g/r/grape_wine_with_swatch_copy_2.png?format=auto&height=600,https://www.myntra.com/lipstick/mamaearth/mamaearth-soft-matte-long-stay-lipstick-with-jojoba-oil--vitamin-e---grape-wine/22214624/buy,https://mamaearth.in/product/soft-matte-long-stay-lipstick-grape-wine-3-5-g,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,MAC Studio Fix Powder Foundation,Makeup,Shoppers Stop,3000.0,2670.0,330.0,12.36,myntra_higher,ok,,,https://www.myntra.com/foundation/m.a.c/mac-studio-fix-long-lasting-powder-plus-foundation---nc16/32416231/buy,https://www.shoppersstop.com/M.A.C-Studio-Fix-Powder-Plus-24-Hour-Oil-Control-Compact-Foundation-With-Rose-&-Red-Algae-Extracts---NC15/p-MAC-S3BJ21SS_NC15%20Light%20Beige?nsbp=true&utm_source=&utm_medium=&utm_campaign=-23703991363&gad_source=4&gad_campaignid=23703998395&gbraid=0AAAAApzcWB1IWVzw8MuHJK7lJLsiI9w08&gclid=CjwKCAjw5NvPBhAoEiwA_2egfkJmJl3iUu4V3S7opRlvqLUrFUtU-TyERUmurGITBGqBQDd5-xCKJBoC1ZoQAvD_BwE,requests,requests,200,200,150
